Description,IncidentNum,Location,Agency,Date
ASSAULT-SIMPLE,201715703,100 BLOCK CHANCELLOR ST,Charlottesville Police,5-5-2017 12:45 PM
MOTOR VEHICLE THEFT/STOLEN AUTO,201715572,1000 BLOCK WERTLAND ST,Charlottesville Police,5-4-2017 12:00 PM
DRUG/NARCOTIC VIOLATION,201715522,1000 BLOCK W MAIN ST,Charlottesville Police,5-4-2017 12:11 AM
WEAPON LAW OFFENSES,201715471,1000 BLOCK CHERRY AVE,Charlottesville Police,5-3-2017 2:40 PM
ASSAULT-SIMPLE,201715397,100 BLOCK 14TH ST SW,Charlottesville Police,5-3-2017 4:05 AM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201715265,0 BLOCK ELLIEWOOD AVE,Charlottesville Police,5-2-2017 1:37 AM
BURGLARY/BREAKING AND ENTERING,201715173,100 BLOCK CHANCELLOR ST,Charlottesville Police,5-1-2017 9:21 AM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201715048,400 BLOCK 15TH ST NW,Charlottesville Police,4-30-2017 9:56 AM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201714933,300 BLOCK 15TH ST NW,Charlottesville Police,4-30-2017 12:25 AM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201714779,100 BLOCK ELLIWOOD AVE,Charlottesville Police,4-28-2017 10:32 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201714326,1000 BLOCK CHERRY AVE,Charlottesville Police,4-25-2017 9:35 AM
FRAUD-FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,201714277,1200 BLOCK GRADY AVE,Charlottesville Police,4-24-2017 11:20 PM
LARCENY-ALL OTHER LARCENY,201714119,100 BLOCK 14TH ST NW,Charlottesville Police,4-23-2017 3:30 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201714028,100 BLOCK MADISON LN,Charlottesville Police,4-23-2017 2:30 AM
MOTOR VEHICLE THEFT/STOLEN AUTO,201714049,300 BLOCK 15TH ST NW,Charlottesville Police,4-22-2017 11:40 PM
MOTOR VEHICLE THEFT/STOLEN AUTO,201714017,1000 BLOCK WERTLAND ST,Charlottesville Police,4-22-2017 6:05 PM
LARCENY-ALL OTHER LARCENY,201713811,800 BLOCK W MAIN ST,Charlottesville Police,4-21-2017 2:30 PM
LARCENY-ALL OTHER LARCENY,201713787,500 BLOCK PATTON ST,Charlottesville Police,4-21-2017 12:15 PM
ASSAULT-AGGRAVATED,201713733,800 BLOCK HARDY DR,Charlottesville Police,4-21-2017 1:03 AM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201713691,300 BLOCK 13TH ST NW,Charlottesville Police,4-20-2017 8:54 PM
LARCENY-ALL OTHER LARCENY,201713590,1000 BLOCK CHERRY AVE,Charlottesville Police,4-19-2017 9:29 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201713550,800 BLOCK HARDY DR,Charlottesville Police,4-19-2017 5:02 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201713524,400 BLOCK 17TH STREET NW,Charlottesville Police,4-19-2017 11:01 AM
LARCENY-THEFT FROM MOTOR VEHICLE,201713421,1000 BLOCK WERTLAND ST,Charlottesville Police,4-18-2017 4:10 PM
ASSAULT-SIMPLE,201713378,1200 BLOCK LEE ST,Charlottesville Police,4-18-2017 12:16 AM
LARCENY-ALL OTHER LARCENY,201713327,1500 BLOCK VIRGINIA AVE,Charlottesville Police,4-17-2017 5:21 PM
BURGLARY/BREAKING AND ENTERING,201713272,100 BLOCK MINOR COURT LANE,Charlottesville Police,4-17-2017 5:00 AM
ASSAULT-INTIMIDATION,201713086,1000 BLOCK W MAIN ST,Charlottesville Police,4-15-2017 4:00 PM
LARCENY-THEFT FROM BUILDING,201713050,1800 BLOCK LAMBETH LN,Charlottesville Police,4-15-2017 10:22 AM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201712684,600 BLOCK 14TH ST NW,Charlottesville Police,4-13-2017 12:58 AM
LARCENY-THEFT FROM MOTOR VEHICLE,201712610,1100 BLOCK JOHN ST,Charlottesville Police,4-12-2017 10:38 AM
LARCENY-THEFT FROM MOTOR VEHICLE,201712554,300 BLOCK 13TH ST NW,Charlottesville Police,4-12-2017 8:15 AM
LARCENY-THEFT FROM BUILDING,201712570,1500 BLOCK VIRGINIA AVE,Charlottesville Police,4-12-2017 12:10 AM
LARCENY - POCKET PICKING,201712257,1500 BLOCK UNIVERSITY AVE,Charlottesville Police,4-9-2017 12:45 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201712253,1700 BLOCK GORDON AVE,Charlottesville Police,4-9-2017 11:20 AM
LIQUOR LAW VIOLATIONS,201712218,1500 BLOCK UNIVERSITY AVE,Charlottesville Police,4-9-2017 3:45 AM
DRUG/NARCOTIC VIOLATION,201712158,500 BLOCK 12TH ST NW,Charlottesville Police,4-8-2017 11:50 PM
BURGLARY/BREAKING AND ENTERING,201711972,900 BLOCK PAGE ST,Charlottesville Police,4-7-2017 7:48 PM
LARCENY-ALL OTHER LARCENY,201711666,100 BLOCK 14TH ST NW,Charlottesville Police,4-5-2017 2:00 PM
LARCENY-THEFT FROM BUILDING,201711680,1500 BLOCK GRADY AVE,Charlottesville Police,4-5-2017 1:35 PM
ASSAULT-SIMPLE,201711441,100 BLOCK 12TH ST NW,Charlottesville Police,4-3-2017 2:50 PM
LARCENY-THEFT FROM BUILDING,201711323,1600 BLOCK JEFFERSON PARK AVE,Charlottesville Police,4-2-2017 1:00 PM
LARCENY-THEFT FROM BUILDING,201711294,300 BLOCK 14TH ST NW,Charlottesville Police,4-2-2017 4:08 AM
DRUG/NARCOTIC VIOLATION,201711140,1200 BLOCK W MAIN ST,Charlottesville Police,4-1-2017 6:40 AM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201710989,300 BLOCK 10TH ST NW,Charlottesville Police,3-31-2017 12:10 PM
LARCENY - POCKET PICKING,201710967,1500 BLOCK UNIVERSITY AVE,Charlottesville Police,3-31-2017 7:13 AM
FRAUD-FRAUD BY IMPERSONATION,201710937,1700 BLOCK UNIVERSITY AVE,Charlottesville Police,3-31-2017 4:04 AM
FRAUD-FRAUD BY IMPERSONATION,201710949,1500 BLOCK UNIVERSITY AVE,Charlottesville Police,3-31-2017 3:30 AM
LARCENY-ALL OTHER LARCENY,201710836,300 BLOCK 15TH ST NW,Charlottesville Police,3-30-2017 12:55 PM
LARCENY-ALL OTHER LARCENY,201710838,1000 BLOCK CHERRY AVE,Charlottesville Police,3-30-2017 12:55 PM
